ID=0, predicted=3, true=3, accuracy=1.0
ID=1, predicted=2, true=7, accuracy=0.0
ID=2, predicted=7, true=7, accuracy=1.0
ID=3, predicted=2, true=2, accuracy=1.0
ID=4, predicted=2, true=2, accuracy=1.0
ID=5, predicted=2, true=2, accuracy=1.0
ID=6, predicted=7, true=7, accuracy=1.0
ID=7, predicted=1, true=1, accuracy=1.0
ID=8, predicted=7, true=7, accuracy=1.0
ID=9, predicted=7, true=7, accuracy=1.0
ID=10, predicted=3, true=3, accuracy=1.0
ID=11, predicted=7, true=6, accuracy=0.0
ID=12, predicted=1, true=2, accuracy=0.0
ID=13, predicted=2, true=5, accuracy=0.0
ID=14, predicted=5, true=5, accuracy=1.0
ID=15, predicted=7, true=7, accuracy=1.0
ID=16, predicted=3, true=3, accuracy=1.0
ID=17, predicted=2, true=2, accuracy=1.0
ID=18, predicted=2, true=3, accuracy=0.0
ID=19, predicted=7, true=2, accuracy=0.0
ID=20, predicted=2, true=2, accuracy=1.0
ID=21, predicted=3, true=3, accuracy=1.0
ID=22, predicted=2, true=2, accuracy=1.0
ID=23, predicted=5, true=5, accuracy=1.0
ID=24, predicted=3, true=3, accuracy=1.0
ID=25, predicted=2, true=2, accuracy=1.0
ID=26, predicted=2, true=2, accuracy=1.0
ID=27, predicted=7, true=7, accuracy=1.0
ID=28, predicted=3, true=3, accuracy=1.0
ID=29, predicted=4, true=9, accuracy=0.0
ID=30, predicted=1, true=7, accuracy=0.0
ID=31, predicted=1, true=7, accuracy=0.0
ID=32, predicted=7, true=7, accuracy=1.0
ID=33, predicted=1, true=1, accuracy=1.0
ID=34, predicted=7, true=7, accuracy=1.0
ID=35, predicted=3, true=3, accuracy=1.0
ID=36, predicted=3, true=3, accuracy=1.0
ID=37, predicted=7, true=2, accuracy=0.0
ID=38, predicted=2, true=7, accuracy=0.0
ID=39, predicted=7, true=7, accuracy=1.0
ID=40, predicted=7, true=3, accuracy=0.0
ID=41, predicted=5, true=9, accuracy=0.0
ID=42, predicted=7, true=1, accuracy=0.0
ID=43, predicted=2, true=2, accuracy=1.0
ID=44, predicted=2, true=2, accuracy=1.0
ID=45, predicted=2, true=2, accuracy=1.0
ID=46, predicted=7, true=7, accuracy=1.0
ID=47, predicted=1, true=1, accuracy=1.0
ID=48, predicted=1, true=1, accuracy=1.0
ID=49, predicted=1, true=1, accuracy=1.0
ID=50, predicted=2, true=7, accuracy=0.0
ID=51, predicted=2, true=7, accuracy=0.0
ID=52, predicted=7, true=2, accuracy=0.0
ID=53, predicted=7, true=2, accuracy=0.0
ID=54, predicted=2, true=7, accuracy=0.0
ID=55, predicted=7, true=2, accuracy=0.0
ID=56, predicted=1, true=2, accuracy=0.0
ID=57, predicted=2, true=2, accuracy=1.0
ID=58, predicted=2, true=3, accuracy=0.0
ID=59, predicted=2, true=3, accuracy=0.0
ID=60, predicted=3, true=2, accuracy=0.0
ID=61, predicted=2, true=2, accuracy=1.0
ID=62, predicted=2, true=1, accuracy=0.0
ID=63, predicted=8, true=8, accuracy=1.0
ID=64, predicted=3, true=3, accuracy=1.0
ID=65, predicted=7, true=9, accuracy=0.0
ID=66, predicted=7, true=2, accuracy=0.0
ID=67, predicted=8, true=8, accuracy=1.0
ID=68, predicted=7, true=7, accuracy=1.0
ID=69, predicted=7, true=2, accuracy=0.0
ID=70, predicted=3, true=9, accuracy=0.0
ID=71, predicted=2, true=2, accuracy=1.0
ID=72, predicted=3, true=3, accuracy=1.0
ID=73, predicted=2, true=7, accuracy=0.0
ID=74, predicted=7, true=7, accuracy=1.0
ID=75, predicted=7, true=9, accuracy=0.0
ID=76, predicted=3, true=3, accuracy=1.0
ID=77, predicted=7, true=7, accuracy=1.0
ID=78, predicted=4, true=8, accuracy=0.0
ID=79, predicted=7, true=7, accuracy=1.0
ID=80, predicted=2, true=7, accuracy=0.0
ID=81, predicted=3, true=5, accuracy=0.0
ID=82, predicted=3, true=5, accuracy=0.0
ID=83, predicted=2, true=7, accuracy=0.0
ID=84, predicted=7, true=1, accuracy=0.0
ID=85, predicted=4, true=4, accuracy=1.0
ID=86, predicted=7, true=7, accuracy=1.0
ID=87, predicted=3, true=3, accuracy=1.0
ID=88, predicted=2, true=2, accuracy=1.0
ID=89, predicted=7, true=7, accuracy=1.0
ID=90, predicted=7, true=7, accuracy=1.0
ID=91, predicted=7, true=7, accuracy=1.0
ID=92, predicted=7, true=7, accuracy=1.0
ID=93, predicted=1, true=1, accuracy=1.0
ID=94, predicted=2, true=2, accuracy=1.0
ID=95, predicted=7, true=2, accuracy=0.0
ID=96, predicted=1, true=1, accuracy=1.0
ID=97, predicted=7, true=2, accuracy=0.0
ID=98, predicted=7, true=7, accuracy=1.0
ID=99, predicted=2, true=2, accuracy=1.0
ID=100, predicted=3, true=3, accuracy=1.0
ID=101, predicted=3, true=3, accuracy=1.0
ID=102, predicted=2, true=2, accuracy=1.0
ID=103, predicted=1, true=7, accuracy=0.0
ID=104, predicted=3, true=3, accuracy=1.0
ID=105, predicted=3, true=9, accuracy=0.0
ID=106, predicted=2, true=6, accuracy=0.0
ID=107, predicted=7, true=7, accuracy=1.0
ID=108, predicted=7, true=7, accuracy=1.0
ID=109, predicted=7, true=1, accuracy=0.0
ID=110, predicted=1, true=2, accuracy=0.0
ID=111, predicted=7, true=2, accuracy=0.0
ID=112, predicted=7, true=7, accuracy=1.0
ID=113, predicted=1, true=1, accuracy=1.0
ID=114, predicted=7, true=7, accuracy=1.0
ID=115, predicted=3, true=2, accuracy=0.0
ID=116, predicted=3, true=2, accuracy=0.0
ID=117, predicted=8, true=8, accuracy=1.0
ID=118, predicted=2, true=5, accuracy=0.0
ID=119, predicted=2, true=2, accuracy=1.0
ID=120, predicted=7, true=7, accuracy=1.0
ID=121, predicted=7, true=2, accuracy=0.0
ID=122, predicted=4, true=4, accuracy=1.0
ID=123, predicted=2, true=7, accuracy=0.0
ID=124, predicted=1, true=1, accuracy=1.0
ID=125, predicted=2, true=7, accuracy=0.0
ID=126, predicted=7, true=7, accuracy=1.0
ID=127, predicted=7, true=7, accuracy=1.0
ID=128, predicted=2, true=7, accuracy=0.0
ID=129, predicted=2, true=2, accuracy=1.0
ID=130, predicted=2, true=7, accuracy=0.0
ID=131, predicted=7, true=2, accuracy=0.0
ID=132, predicted=3, true=2, accuracy=0.0
ID=133, predicted=7, true=2, accuracy=0.0
ID=134, predicted=1, true=1, accuracy=1.0
