ID=0, predicted=8, true=8, accuracy=1.0
ID=1, predicted=8, true=8, accuracy=1.0
ID=2, predicted=0, true=8, accuracy=0.0
ID=3, predicted=9, true=9, accuracy=1.0
ID=4, predicted=9, true=9, accuracy=1.0
ID=5, predicted=5, true=1, accuracy=0.0
ID=6, predicted=4, true=4, accuracy=1.0
ID=7, predicted=3, true=7, accuracy=0.0
ID=8, predicted=9, true=9, accuracy=1.0
ID=9, predicted=9, true=9, accuracy=1.0
ID=10, predicted=9, true=9, accuracy=1.0
ID=11, predicted=0, true=0, accuracy=1.0
ID=12, predicted=2, true=2, accuracy=1.0
ID=13, predicted=0, true=0, accuracy=1.0
ID=14, predicted=3, true=5, accuracy=0.0
ID=15, predicted=9, true=9, accuracy=1.0
ID=16, predicted=3, true=3, accuracy=1.0
ID=17, predicted=4, true=7, accuracy=0.0
ID=18, predicted=0, true=0, accuracy=1.0
ID=19, predicted=4, true=4, accuracy=1.0
ID=20, predicted=6, true=6, accuracy=1.0
ID=21, predicted=8, true=8, accuracy=1.0
ID=22, predicted=7, true=7, accuracy=1.0
ID=23, predicted=6, true=6, accuracy=1.0
ID=24, predicted=6, true=6, accuracy=1.0
ID=25, predicted=0, true=0, accuracy=1.0
ID=26, predicted=4, true=4, accuracy=1.0
ID=27, predicted=0, true=0, accuracy=1.0
ID=28, predicted=4, true=4, accuracy=1.0
ID=29, predicted=1, true=1, accuracy=1.0
ID=30, predicted=9, true=9, accuracy=1.0
ID=31, predicted=3, true=3, accuracy=1.0
ID=32, predicted=5, true=5, accuracy=1.0
ID=33, predicted=9, true=4, accuracy=0.0
ID=34, predicted=9, true=4, accuracy=0.0
ID=35, predicted=1, true=1, accuracy=1.0
ID=36, predicted=1, true=1, accuracy=1.0
ID=37, predicted=0, true=0, accuracy=1.0
ID=38, predicted=9, true=9, accuracy=1.0
ID=39, predicted=7, true=7, accuracy=1.0
ID=40, predicted=8, true=8, accuracy=1.0
ID=41, predicted=9, true=3, accuracy=0.0
ID=42, predicted=0, true=5, accuracy=0.0
ID=43, predicted=6, true=6, accuracy=1.0
ID=44, predicted=0, true=0, accuracy=1.0
ID=45, predicted=8, true=8, accuracy=1.0
ID=46, predicted=2, true=2, accuracy=1.0
ID=47, predicted=8, true=8, accuracy=1.0
ID=48, predicted=7, true=7, accuracy=1.0
ID=49, predicted=8, true=8, accuracy=1.0
ID=50, predicted=1, true=1, accuracy=1.0
ID=51, predicted=5, true=9, accuracy=0.0
ID=52, predicted=5, true=5, accuracy=1.0
ID=53, predicted=4, true=4, accuracy=1.0
ID=54, predicted=1, true=1, accuracy=1.0
ID=55, predicted=2, true=2, accuracy=1.0
ID=56, predicted=1, true=1, accuracy=1.0
ID=57, predicted=6, true=6, accuracy=1.0
ID=58, predicted=0, true=0, accuracy=1.0
ID=59, predicted=8, true=8, accuracy=1.0
ID=60, predicted=0, true=0, accuracy=1.0
ID=61, predicted=8, true=8, accuracy=1.0
ID=62, predicted=6, true=6, accuracy=1.0
ID=63, predicted=2, true=2, accuracy=1.0
ID=64, predicted=9, true=9, accuracy=1.0
ID=65, predicted=4, true=9, accuracy=0.0
ID=66, predicted=8, true=8, accuracy=1.0
ID=67, predicted=0, true=0, accuracy=1.0
ID=68, predicted=8, true=3, accuracy=0.5
ID=69, predicted=3, true=3, accuracy=0.5
ID=70, predicted=8, true=8, accuracy=1.0
ID=71, predicted=3, true=3, accuracy=1.0
ID=72, predicted=1, true=1, accuracy=1.0
ID=73, predicted=1, true=1, accuracy=1.0
ID=74, predicted=3, true=3, accuracy=1.0
ID=75, predicted=6, true=9, accuracy=0.0
ID=76, predicted=5, true=5, accuracy=1.0
ID=77, predicted=5, true=8, accuracy=0.0
ID=78, predicted=0, true=0, accuracy=1.0
ID=79, predicted=8, true=8, accuracy=1.0
ID=80, predicted=0, true=0, accuracy=1.0
ID=81, predicted=6, true=0, accuracy=0.0
ID=82, predicted=9, true=9, accuracy=1.0
ID=83, predicted=1, true=1, accuracy=1.0
ID=84, predicted=1, true=5, accuracy=0.0
ID=85, predicted=1, true=1, accuracy=1.0
ID=86, predicted=2, true=2, accuracy=1.0
ID=87, predicted=0, true=0, accuracy=1.0
ID=88, predicted=8, true=8, accuracy=1.0
ID=89, predicted=0, true=0, accuracy=1.0
ID=90, predicted=9, true=9, accuracy=1.0
ID=91, predicted=7, true=7, accuracy=1.0
ID=92, predicted=3, true=3, accuracy=1.0
ID=93, predicted=8, true=8, accuracy=1.0
ID=94, predicted=2, true=2, accuracy=1.0
ID=95, predicted=9, true=9, accuracy=1.0
ID=96, predicted=0, true=0, accuracy=1.0
ID=97, predicted=8, true=8, accuracy=1.0
ID=98, predicted=4, true=4, accuracy=1.0
ID=99, predicted=6, true=7, accuracy=0.0
ID=100, predicted=6, true=6, accuracy=1.0
ID=101, predicted=7, true=7, accuracy=1.0
ID=102, predicted=4, true=4, accuracy=1.0
ID=103, predicted=1, true=1, accuracy=1.0
ID=104, predicted=7, true=7, accuracy=1.0
ID=105, predicted=6, true=9, accuracy=0.0
ID=106, predicted=5, true=5, accuracy=1.0
ID=107, predicted=1, true=1, accuracy=1.0
ID=108, predicted=3, true=3, accuracy=1.0
ID=109, predicted=1, true=1, accuracy=1.0
ID=110, predicted=1, true=1, accuracy=1.0
ID=111, predicted=3, true=3, accuracy=1.0
ID=112, predicted=7, true=7, accuracy=1.0
ID=113, predicted=7, true=7, accuracy=1.0
ID=114, predicted=7, true=7, accuracy=1.0
ID=115, predicted=7, true=7, accuracy=1.0
ID=116, predicted=8, true=5, accuracy=0.0
ID=117, predicted=3, true=3, accuracy=1.0
ID=118, predicted=4, true=8, accuracy=0.5
ID=119, predicted=1, true=1, accuracy=1.0
ID=120, predicted=6, true=6, accuracy=1.0
ID=121, predicted=6, true=6, accuracy=1.0
ID=122, predicted=5, true=5, accuracy=1.0
ID=123, predicted=3, true=3, accuracy=1.0
ID=124, predicted=6, true=0, accuracy=0.0
ID=125, predicted=2, true=2, accuracy=1.0
ID=126, predicted=5, true=5, accuracy=1.0
ID=127, predicted=4, true=4, accuracy=1.0
ID=128, predicted=0, true=0, accuracy=1.0
ID=129, predicted=7, true=7, accuracy=1.0
ID=130, predicted=5, true=4, accuracy=0.0
ID=131, predicted=3, true=3, accuracy=1.0
ID=132, predicted=8, true=8, accuracy=1.0
ID=133, predicted=1, true=1, accuracy=1.0
ID=134, predicted=4, true=4, accuracy=1.0
ID=135, predicted=9, true=7, accuracy=0.0
ID=136, predicted=4, true=4, accuracy=1.0
ID=137, predicted=0, true=0, accuracy=1.0
ID=138, predicted=9, true=5, accuracy=0.0
ID=139, predicted=3, true=2, accuracy=0.0
ID=140, predicted=0, true=0, accuracy=1.0
ID=141, predicted=3, true=3, accuracy=1.0
ID=142, predicted=2, true=2, accuracy=1.0
ID=143, predicted=0, true=0, accuracy=1.0
ID=144, predicted=8, true=8, accuracy=1.0
ID=145, predicted=2, true=2, accuracy=1.0
ID=146, predicted=2, true=2, accuracy=1.0
ID=147, predicted=1, true=1, accuracy=1.0
ID=148, predicted=4, true=4, accuracy=1.0
ID=149, predicted=4, true=4, accuracy=1.0
ID=150, predicted=0, true=0, accuracy=1.0
ID=151, predicted=1, true=7, accuracy=0.0
ID=152, predicted=2, true=1, accuracy=0.0
ID=153, predicted=7, true=6, accuracy=0.0
ID=154, predicted=2, true=2, accuracy=1.0
ID=155, predicted=8, true=8, accuracy=1.0
ID=156, predicted=2, true=2, accuracy=1.0
ID=157, predicted=4, true=4, accuracy=1.0
ID=158, predicted=5, true=5, accuracy=1.0
ID=159, predicted=1, true=1, accuracy=1.0
ID=160, predicted=5, true=5, accuracy=1.0
ID=161, predicted=5, true=5, accuracy=1.0
ID=162, predicted=9, true=9, accuracy=1.0
ID=163, predicted=4, true=0, accuracy=0.0
ID=164, predicted=2, true=2, accuracy=1.0
ID=165, predicted=4, true=4, accuracy=1.0
ID=166, predicted=1, true=1, accuracy=0.5
ID=167, predicted=8, true=3, accuracy=0.5
ID=168, predicted=0, true=0, accuracy=1.0
ID=169, predicted=9, true=9, accuracy=1.0
ID=170, predicted=5, true=9, accuracy=0.0
ID=171, predicted=1, true=2, accuracy=0.0
ID=172, predicted=6, true=6, accuracy=1.0
ID=173, predicted=6, true=6, accuracy=1.0
ID=174, predicted=8, true=8, accuracy=1.0
ID=175, predicted=5, true=5, accuracy=1.0
ID=176, predicted=3, true=3, accuracy=1.0
ID=177, predicted=1, true=1, accuracy=1.0
ID=178, predicted=5, true=5, accuracy=1.0
ID=179, predicted=0, true=0, accuracy=1.0
ID=180, predicted=9, true=9, accuracy=1.0
ID=181, predicted=1, true=1, accuracy=1.0
